username,predicted_score
0dd138a9a2b0349ede3fee340cb02e40197aea3d,8.069321150447898
0de8af23bfda13f21ed67e41a5aace53ff8aef99,8.374386149138472
0dfa65b4dafad47b15abbfd6c6ce1aeb213901cf,6.61294905616244
0e0d9e9f9bc2173402e77be7eaaaf0d562168009,7.842788476081912
0e346c62a6706465a1c49c59224eed1cdb5f7f5c,8.221534666156778
0e51dc16b3d9de6cbcada8abb58ddeddb448b6e8,8.249709159334468
0e63b2194be2efd4b5b5f2b6e2d77ac12aaadec3,7.747121730444372
0eb93817d6eb3d5bd3e44dbc75971eea193b924f,8.519097104886733
0ee9ac569e379f04a42a18c88cca093ef1121ab8,8.316784846242246
0f0664021ebbec70b1d3bb5a5419e22507179671,8.751820110045454
0f8c46242826be3cbe5e14f5773ee1da97697024,8.603660522409355
0fbb7000a8fd1f413cd7a06ec7baf2b1f6eb493a,7.670615785940569
0fbef055915162cb6d6501558499544d6dedb799,8.238929714718962
0fc728b5b267485042d587eeac067b6c4e2a1d15,8.544934481557473
0fc74820b7bcdd23c196f494e7686305acbdc71e,8.140555019546843
1004df3c370eb09604c10fd89f9e86a2c037a7dd,8.179639744603758
10208a0e6cd46ed16c4fd6b83f3993696ace5495,8.464353652043961
10253729dc5e3b0b2d3dddc37638199910394daf,8.250688575381403
1032e725ab35f7bffc504759477f8243066a026b,8.337835075882168
108f1062e8ab6d51f404e7f639e781edc9ae5eb2,8.068206156435442
10ab3b376215f6afcfc642ea66a50f92cf944717,8.527429765962887
10e3359db56b99eb2f621d7c875f3c26cdd01a64,8.076574455751764
110da1d7ba2be3ffa13d62c7ed8b917e5dcebece,8.486869442394948
1133fe0ca8444133bea1e55ef5b4026b5e8445fc,8.823513837762247
117d3bf4a5deb7a9f3422f088e10bb3f8eeb7e12,8.026045370447937
11f5d8226ebf0108a5a4ecad896a990ecb369247,7.890754224835752
11f61032ed64123d44a372930101fd5f3877e010,8.05686765673494
11f93249faeb096567269266fbebfc3b0f6b5dc1,8.148655003092125
123c4ff5313ccf709b3bc4bd3365087685440c71,7.966894758587807
12607a7c2283944afc08e1ce4df79ba688a31f74,9.296972926605093
1271071dc622e3a72b0ef187b6e955b9d59db5f8,7.01560952639439
127974170c7fb2e3945a3c5b666bb7f6dadc87ad,9.061818932932617
12887fd9a4df4ba9b88a71f3fb1d2502a75995dd,8.444047875826364
128ed4bebb12d030efad936db13d26a620bd620a,8.241555509038776
12aa60fde9ce650c25faf60398d3c071cb80c1b4,8.885756018491133
12d6e24985ac80a581968fb1f36d699e6dd1cd33,8.143143379863249
12da07c3cca4f480a6064f7cbedaec11d677814a,8.345528490761852
12f1e26c28f731fd2ad1787db42f4c13de432ea4,8.386111850293958
13293554378a8a5f29de5440ab1c49003af0214a,8.732816471565995
132d544dce1633485350dd582ed7f13fad5da3f4,8.30182896310471
137ffd846ed245676a14f1d5e8676a4ef646182b,7.902131482050628
1388c66d46212d87c084af2a8fdd0257444ce868,8.347819742031717
138c5848f009c004f0b8e2379316d5ec18332ff8,7.018259381219686
139aa923bf965f373c678ba8c10f500d78269e20,8.623236420237692
13b9e4710dc86e953960ebd2fbae7721d24fdc2a,7.880804885744544
141e7bebd6db0745569c97910301a67c9962826e,8.459937172931081
14354d2cff31b4330ad9e939b18cc8fce8c1c085,8.487397061795523
1438feeb138cf0a2ac3e5583f5caec35e3104234,8.405612580385062
143fdbefc9ba427b841fbd52b7999b2a996562af,8.056138321945637
1466659761d4827040ac1226fa45ad172c4743a4,8.75922858164355
14a29b0a13697ed0e000bdb9f374180ccb495a2c,7.81369068931511
14a493d035053a109eeeeb50a501d2b69a8ec429,8.493002680881798
14e9c7d5220ae70aadd1e37038e74bba41439d65,7.649844004497212
155290f106d7951f353d1290f55d95a5a1535e90,7.606406119251349
1587f82c10e4a0f4241b317cba4fb5691bab07a1,8.767807133404167
165e4e596c3bdade64bf0bd2491fa8234015f0d2,8.666577566045204
16a221ec975ec0eb2fcf4acd69fe87281d585ca7,8.7905481936903
16b6e419367318f9a3a28439ae013d55638ba0d3,8.431229148541496
172ed6401f9b9f97f6603c04fb2be3a83d495f12,7.979201162898969
17b62f15056932dddf225da7f5e30911e316f7ed,8.465015384716475
17ce312f66b2f6b7c5766e4d5cb1f7452aa20911,8.524597036775857
180a4c5f90b6d7bd4993c51385fb00b4d32d2834,6.204181821971849
18fc5492e3a88861f35c23bbb2805f724c1a135a,8.509378581062032
191ba6c8fd27e676f8c2f5341bfaf487765fa0dd,8.164576093426591
195aa2f618f1001a6ca4da0300dd8bb798013a73,9.011522733659435
19787a8ba9b724902ceb45f483190f766e9e291c,8.304657505740945
197914fcc84fa89dd136503225f5ecdbecb2600a,8.570393327710093
19bb25163e0a13d6d2b1606c92e1366ad7fd8341,8.152830927160188
19fb6947af793def84e3b7ab4f867bd460ad1b73,8.188788040686028
1a116d1e7d5af20a32ad9d0232b6803c70f7978d,8.191729481531752
1a4b69992c879b4e5f64e848ffdddc2f2f401e44,7.7482287500189955
1a651a0e1038b173950ab2be4fb4b3016d617aa6,8.706588179226419
1a68900dd1fd8fa7892cc9450d53e991ca241785,8.53922672230289
1abf62f1e76bc5ac164061cff2a8171d6b6de657,8.491101588178976
1ad3d49b185ea0e42354cd94ac86c60ae982616d,8.559926885000564
1ae3ba4f07f87302215a9b35d195bfbeef187ebc,8.778384268089791
1b248f11648c9000f277a02dc5d4bea3800ba43a,8.22689245489224
1b30ad6d355a521cb70e2eff2efe28c3d2fcec9e,7.861646443466867
1bb7bc7fa80594c77e224e8f9632c765f26838e5,8.382338068471261
1bdf6175e8df831b083615bea765e48098904986,7.673835956922796
1bf00adb6ad4cfbed2cab01bf71398e1ed9db042,8.577250843046714
1c095c774d9d1d3a4ddcf533186e7146fdbf92a7,8.230699266491191
1c34dfe9c77773e6949a4d248b25897b3f78349d,8.355493823624354
1c38445c67beb9a58777c87a9c059cea1ccf2223,8.25613081155372
1c3928fd78413712a00cd78e6ec020b2cfc666fa,8.202547181249294
1cb262ad711450f9a6a0f5cf786788b17d2d481a,8.452579896602673
1ccece483f66d68acf592f017c1b5ca6c682542a,8.371421406156909
1ce192d1bbeca43c01873d6cd5a6318f4050fa56,7.86860501482576
1cfda392887d01754199fa5f5cecf6ea3c9b0fec,8.387792317685092
1d1a20a6ce616a1b0780f5c86f1f6cf9f7c9a5ff,8.6088400041797
1d2f411ed3ef95a96dea54ce6a09c0d0b65b6a7f,8.437176202679185
1d5ba7c1c8ab8d16890eeb1772560ab942c42003,8.179532193770065
1d9024c71085dc3822bac092baef8b238c3b497f,7.906551088321056
1db86260a9c5f649ae36ccd97c36920df2d51d20,7.381288392653936
1db8dc5d1005cd6d742fd9bfba759aeb2babab66,8.286882245406654
1dccadbfae8f0adb300cb239e727b2481e2b149e,8.253369087262834
1de22c51fffa76f33c3a7698a3f7a9e6ab6be9ac,8.113195678632318
1e055a4ba4266c760d42cc958ce119d344f402f6,8.58891139757573
1e09b1a5541a443716e68239b181fc116425a9b2,8.294899039577688
1e347993c7fb0053ac2a1b01b6b6c5a5fc3dad9d,8.652312654671713
1e48d7fffb4fbe08eec6151ce5b2378258d13aeb,8.335140614614472
1e4b0ce4b171b3e33195524f6a6425a1b8f98597,7.8710727488701355
1e59ca9160cbe32a3bebef6df4339e30a16d0dfd,8.34363693118285
1e6562ac23e7980dcf32fa8963837c68dafc906f,8.068523374279152
1e87dd3db07a664f4eb34b7e0a3ac578ca8846f9,8.002922557720172
1f15254ccdc062083c8f4e02523e18c2384dc6e1,9.205226631742722
1f641156e4298943167e0e1ad7a63696ff3bc17d,8.13994647998647
1f7be2d565e2629c4ffe64c30c41252de69300c5,8.157875588122893
1f88d783ff0c3a19a1d34b4e45d71b4f9b14b976,8.882030972914635
1fde2156c0969b0aebe55ebab7ad14f529a492cf,9.360955765362
1fec28e4753dac81fb5354793029a3a2f81c7b7a,7.7854418759328095
1ff3bf1f9353578bd902ce0b3879369b46c72640,8.525473503867001
2003e05bf78d3b5b7f672aa1d02ae3aa0537706b,8.166701662964863
201b7f1b1071911915956b1d54f5b7e69a7d7cb3,7.756438469429247
209d7c77e7a150b6990a3372f7cb24da0c0e7e07,8.522734156202063
20efb5f5c748870210f094db59aa50c4360d32cc,8.126959124482303
213a1a52e92bd478f671a4e614a7ee5b82ea4b91,7.451419807128216
213a48a8028d2dd6ed42c47be4588ac5a909076b,8.358810605780038
21661552706810e470f97f098927a2b89d9b9eaa,7.969873137807581
216a3ccb8504db72c0b5ef227b00d61d2e2ec7be,8.085641297022901
2170453bef40f448016841b0ca5ad2e07143bf5a,8.298036297533267
218191f4a8648e65ada28c23f52f578dec21cd98,8.282935583095941
21a401ad12c3345ca4c3210d5d3c69db10526b98,8.480996013751025
21ab308abfa9829fcac76f8286d624afae8848aa,8.138907118068412
2290b12e40983b7635bc452c3b6e00c80549220a,8.081491151368049
2290d198e0649ef4dcfb6cd22d36d87969fb7bfb,8.416524201857655
22deb5e56e580b0b0353f10e076cad95a3b8e631,8.588579400477995
22e1f50c4e471c3ba307802b396b7d0a16706005,8.481179823522954
232cce96362898f08e9150ba244adaf2d6583ab2,8.234004826244336
2383a9a33025aa8759fee9a890f6420df0fc8b47,8.01966039709208
2396ff874216d36060ef615c0531d71684b30b4f,8.685532274705459
23d64bbdd55f11cb1d617be60d7b5901c5fda2e6,8.173207408141444
23e8b9776a349c810234bb174f7326d14c89bce5,8.20440071857969
242788be909743713c5ade123c9f0b13cc4b2db6,8.50096757503431
2427d12cf7a43c66b921bdd9de261fb9b452b2b9,6.947631902648444
247df99ea72a42d6c12d6bd7b58ca0b2e163182e,8.166852544990046
248ff20c10b7d18c30fc84ce214936f5bb440e6e,8.390001337514457
249c629226d7716b59d1841c45dbca54afe3c1a2,8.267484934782486
24a9bfba88ed640e9690cd9f6bf4a2985f78522b,7.964947408561607
251d2672c6ecd01a83e6fa19483d8e57ef5f45a5,8.687841568704524
253471036c41eba7c24bbb6e77d4541c95bbb5b7,8.310113461922208
2536ee746de2df68642ecf71037409e47fa1941c,8.242642164549935
254f59f316c0c9e98ce4d4ac6cb1718aef6d9f00,8.097953932736413
25501bb976f5234f69a8cb767dc5b4ab87a9021e,7.729585104059225
2572a6a2ba5183ab68c3da80b69071a6a05c3b84,8.047103283412433
25fe3c7b5bf2d814b49ed3523b5a27c744ae5513,8.064010723322344
26227f631ff63a4f02f7d69bda90131df9bab5dc,8.476387528329033
263102b5e7fbad9de96373d99c0697d8db856bb0,7.758740922192199
26374d5fbb53e326323e8de92a0745452c1142cf,8.110257138381145
2639449829463fd12c2b9ba6fb9ea1c56e94385f,8.544895593085743
2639f9f46c6949536c784118cbcd036cd00c075e,8.18983540862897
263d37689dbb1044d8118782303415a1eac550df,8.221306121368617
26b95825d4fbeaeda7cfab5f5e7cd96ae31097f9,8.36289780381389
26bf2e6d5a634712af2f46b7057a83a4052ce9b9,8.257844917157131
26c932032169ad849d274427dcbdcfb190f843d8,8.24924655203801
26cc2520b79b2222de0037a32fcaeb81c09f3002,8.17359418810467
26cdb442f5361c690f8045caf5e026e7945e1965,7.75988936552831
271c95c3471c6588b4b9ccda962ce197fc94a9b1,8.61257740579067
2785407c3fa2ce2c79a914657d9a4610ae1e5078,8.040576641121085
27ac09df014fc0454129c9953b06f2dd9b997fa9,8.708899988585015
27d6037b0e6ff9972c80bf6192062f3f2e8b076f,8.130891508847213
2813d0ddc37e34a25e798ebf8c8ecb2fc659e8b7,8.471724083522336
2826a109ddc9b90686ec063ba1f90c72c655f8e7,8.464327587021534
2852641e2b7b084ef62df976d53340ead50e5e76,8.217847307507405
2855b4b4d03c37c94117e615a25e0e321ec8d77a,8.53212814899184
286ccf0d6187c170c299fa64d15a3705e7900a33,8.491630109681463
28940a6516bb354b4172fe3524f8b7328a5cf2fd,8.05044843904354
289a5bdde1fa9c49f221f19a10f636e81da724f5,8.518231638806043
28a0f5e69c747c78015cf8fb0eac804b9a733bb2,8.137830311805473
28a125bc7a4d79ba10eeb2abdaa878d46eea4b32,8.260695541066186
28b6c6604b111cc912e369256cac2bf944041a2c,8.395656769838288
28bcffd0bfcfb54b43119a7b5397a3bb53278e9a,7.551115377130507
299ff5851760da9a9d8b8f218dc82b573a397d51,8.28984055149731
29a9c1bfe53383e21dc534379f5fd64c4efd4305,8.006180137392715
29c9f517c368a528325a1e38b51adf368923bb04,8.538052109436173
29e04945ee56ed79c4e07198c0e66375428284de,8.439245037576722
2a6a418be08d9f0184a804b2700a0d58950b219c,8.109615454388956
2a8f1b3e408879bc12a312938c32061d9e29a4e9,8.456524856144782
2a9497dcb278dde20143d0cb9a57e5cdf3763a8e,10.0
2ad77f650b2381bbdcc0011fe5d9bcffcb109831,8.636087126067123
2b1f3237bb60db7f72540e004a1596c7ff3fd549,8.351937163247795
2b96fc96ee2e0090a42957d84ccd09cda2c72b74,8.092327727183772
2bae7a494d77c9c7cc0ccdc65a1915d25e31d2d5,8.86768202525691
2bfadd9c6a7bdbdd1ae792e0225b799ee67453a5,8.768488457335081
2c93a0edb553ae495ba9ca047361240c278f6cf8,7.093257767650475
2cc30f03509be89ad3bfd483b2bd69c999798805,8.247238919370595
2cd5132c3c49bd9d4d5081e386a4d69a593f850a,9.366043155657296
2cddc42a00117daf32501cba07d6dc181de7ed24,8.541345832771542
2d450fbabcb95dad1b49ce3a6c70ee6fd9ed6c68,8.56748768955694
2d621dbbe38ec756f71d3d1ff5b1f2de707330be,8.57022473855703
2e171212b96d4d95e0857baadfdc55455113dfc5,8.373930383578069
2e1dbf534b47dc518c2d4d577d312f6969d9e6b9,8.343004654020081
2e22e4cd67d6f2e9f70782c69e67f4d15bee7d1d,9.215560832035038
2e2fe98cf7d490aba85a3eba367d9512bac08ce2,8.517066665265506
2e8b47e527548d947c688069d4a5c60ed67ace19,8.34535910477103
2ebc44186d8093752e9c9ad97b67114006718300,8.85147969518571
2ecfee45346013cf126b75cfc8bdd2ba3b0c2666,7.812115035963811
2f2abfea66cd61a09939960e751666a2c0913430,8.884005444360648
2f465acb00ca28cf6a7ef4b71b4df1208eb8fc8c,8.398338813292321
2f4cbc9afdd23132d572c5f7a81b4e9b19b8081d,7.993148955073796
2f7bdf97a5978e8b7a4b3f69a474540c0c38498e,8.112758268668848
2f7ef2d7fa25c0f8d9de0a5ca7301041b9d08e4d,8.485744972685747
2f968a678a61cc1179708dc2820405e288ca9c67,8.459441400511292
2fa2244e6e21b8799c5210d92f8966838a43783e,8.96308191296694
2fa311a94bc0da6d97955730d071ad6fcc770bfd,8.415445457045552
2fdf9d089409fcb9c3728b0a61bb0a00fcc85db8,9.111441549776995
2ffa1b41cbeda2e9683f9d608b9dccdc31323452,8.186556072300437
301483d94b9efd8e7d95ca45979a6583215c1d58,8.250178385467542
3015441ae521554bb4d04b1e3bad620170a43d79,8.611446443570719
308b8bd2a17694ea81d601d025d5cb4ea6fc1fba,6.180838909084683
309abbd71d6dc57c03605bdc4ffe90dce74c4f10,7.897587059885797
30af7a50bb0bc62e730b65f59788dadf102d49b1,8.48121465723602
315b83340476d3a8338543ccdc95dbc86bddb3ab,8.287760879320002
326a025b5c23347b9eb2c5ceae75a5908a461f69,8.211055293870693
32991cd9c0115e4bd4387c8fa3ed559f4eba345e,8.359135142916399
32b47658ae606bb95f1bbf1e1dc86accc255e926,7.995631557563494
32ccec47f44931be75b93c598cb145c4803be980,8.161494221320563
331639421af1df525391f1013c5363683efb9f68,8.285797743627013
334c7722802329509bf82a5cd7b4a38b5825cc42,8.513129121230929
334f25ceeca6e440b1210f205c253cdc8d25942e,8.199527298698897
3399fb9cc4f115ff1d6a41cf169d8ebd200c3418,8.143144017285852
339fff79c43561c995b29972a962ccec846c599f,8.418199083329283
33b16210a7736a6f75ef1b1f3cb7070a4d29395e,8.69835636976366
33b6ac5e8631fb9ee19cfaf3dd4a93928d47bcc3,8.053829285346263
33c1babbdbffe79f6f16e085a78ebd0b2a7b3a65,8.096139770285875
33c8bfb97b43132f0054b97a2ebb0f5f3768031d,8.66247085011776
33c9e776300c7de11e0736b069b8e5042372d418,8.794965742544761
33ead7fc0a3cd59c67bb412d705c5f5b9cedccfe,8.70721992197023
34283eb36b1b51da5126f973e69199151b8f26c2,8.182211810068754
346583cc308681a50145af444a26fb217df305c3,8.568283964208689
3469c710d9f5a4ef230caca3f99b1ed21411732d,8.216291612515345
347b6f40dbac97bd24c857f37744f2c4fd590cc8,8.435395496694344
34a00f81f528b38404f04d9a360e73fb17b62031,8.694358040951201
34a187324e5c8bb2723a6f51a038acfef94a7538,8.52765890340967
34b6d0f0fe1617146945db60df615d0d9bb3a4d1,8.405943724767594
34f6fd0da81e68652a26b633fcb7d4d4169e2e75,8.712424279959826
34ffbe3d2820a74472b93e9dcabc0e17f75e779c,7.717921088295988
357ec20d8f9f416f9b02b0f54a81d3f409d074e9,8.712466247640721
358cf36e763ba00426124c74961d59614fd9476a,8.599064264065596
35cc3e4b8108e6eb405c96afabb167d6c0f9b50c,9.026975121350333
363d3494b7918fffc4e59beed6c76eb7d05b2c64,8.20160572706009
363f5d64f8c70c78376d1b5f9485511daa5a9d8c,7.96835630461294
36a292355e4b31b866da368ac2bc7902a72d4db2,8.148360710276194
36dbfe4759f861ee72011812df2178cbbfd736a1,8.394885184388803
36f6af52bd08c15b005618724931a558fa7049f6,8.10733184345863
370a904c5a7deb4ae08f111c87564b0180d572b4,7.745151171956819
371922831538deb39791562bd384acdf91531999,7.999161474577313
374725662b17c0d200a5d372579406bb4d830bb5,8.116605565290532
37593f2cd1d978efb79e32ed6981b74ad8523ebd,8.555278026330367
37fd8930995a4978e8378d28a84e0aaf3ad85c2d,8.314999158406216
37ff40068998a37a4e2c73bbb325103500cdb0e0,8.255227942435177
3822d529be3c7a49da411682207b471d61822610,8.689696215368985
38397f1c58351146edd1787b0501bbdb31834abd,8.409165475360764
3841fabcde0188d8dc9b3060cacffafa3450ec85,9.209111183232798
3853851c5433317284f37cd530d642560effc35a,8.23382140376279
3886b365ce33e5988c6c8a73eed09ac8a7c784bf,8.707816845268095
388c0aed9f437cb576f998892257a1a9410d1a2e,7.346716479887438
390881963c5fbcde08d9cbc2ec73846bd8eabaa2,7.8978166561434655
391d18cff3df066db6fcc8dad718d325607e5493,7.940976464739299
3949c822529f6d98d518b762c7b49b030685ddda,8.02100894409425
394f4eb7fa3337f92a1148e8e9ba1727995bc8f5,8.401558619973038
3954b15205238530f2cb3b66db735fad6d0c8fda,8.49927792511765
39713cf2db02601e4bd6360ba70f8013c0433f48,8.313621966268025
39ab839c37c0269b14691b473ad894ba12e1afbc,8.141425727839845
39abf25961f2094474ac7c9d9d85735ecfaa10f8,3.0947547833908846
3a1431fdc38caa2d40fdd0df60f76683af53a729,8.81772567572274
3a25a7b40408f3636b36d763cadc72c5ae6b628e,8.1405777519135
3a27f4f6ce9cc005a8f1a5f7441d26db75c9cd2c,8.130198141187241
3a3cf426569ff3ed1638fefb8d0a7bca73e0bdb7,8.016687075158913
3b0e56cb91cf7c26836c7fe857ef2fef62c2031f,8.144059187252491
3b24016cbab8b8632a54240fed0a17406b35bc65,8.364178795912755
3b3559f14b77090ee6063be193efe80b19bcc591,8.76778868559111
3b5d744051772f15e4bc3167d749711fa798b0c1,8.169088184480856
3b951429b4166a9149480e360687549e1069a209,8.527652772113303
3bdad6ba65de3948b9939ebd98d80b03fe3f8e93,7.835203966315571
3be1500e597852e42bb7fe17591b933e0bb44f93,8.253168277161034
3c499f0944773b5ae529a4356d92df5ce8ca7c0c,7.9801443411659
3caf61bb383eed4daa553e074208e84cdbdd7df0,8.200482668945803
3cde31c0a8378da5d6c2767652ec108deb9135a6,8.597839155089181
3d085aa7161eb03884e0a1e98d90f8d46e030d1a,8.069900898766571
3d0c27e5e776d4ebe788c50a8da1a1c9215ae25a,8.574022130549455
3d185c0c28fcae1ca2f5876a8e2e6681b38e5af7,8.558705924755582
3d1c486e68c08c272379fe7eeec4d38e75f54ae8,8.210360726020221
3d4f612148056feeb651f4711c1f640f5015101a,5.420131725395706
3d8d3a121d5e9126056c0676ac7ad2661696a572,8.111370991917557
3d8d550e8b7d9a0629bdd8e0ae73f8f0ac74b1a6,8.38507113658134
3d9b6ed975620e48ca0a5aee5fd19f5db1db3b18,8.72576019849812
3d9f8d11f15cce877a0766d08a6a920548041407,8.015958130751553
3dd2f099bd4cba1acad185a78c773972d450a899,8.361681948146698
3e19ebd05fd2cc465feff2f681011181a78e1341,7.631000175037987
3e572871d05f7888784ac55985fd52cd1c7aaa68,8.17843654485258
3e72f16a86233e81ccc2c9831c0297da6cca36e6,8.180451904248164
3ee8b93a31b564cdb14f3d62f08dd862461e0918,8.05743160995649
3f679f9f5c3b6c2a026bc0575cf7d5f3351a8db1,7.984560235643498
3f92f0a8c1729579c08e921fc041646ee2b50075,7.787662681644077
3fb53c585faf97ed5b0ecb316a4b419c969b790a,8.355267389754212
3fcc971a36a031eba3d5b8ce7a9181a4732a6cf0,8.561063987140779
40291da6897472b56a7ce6a0721a801b5014d3c7,7.821737372449084
404b067bd1dc212fb28d256714a9dc430d5e65af,8.555466884897559
4058bd26eee2f8affafaefd2b59b97c358e826cc,8.76444410256315
4069b40bebe0372926fcd92429f7431e300e6b52,7.8656366292011235
40741b5b2ac93f9d0eacd4a28b48508be0a378f9,7.4492347435281605
40a41a33c4e0168e2716a09cecc11cc3abb5dbe0,7.345521550151612
40c0843e6cba7960b4a4fc631d0831b9242a9778,7.990167821635162
40d6052a7ccec94dae8348e5249381afabbbc985,7.820538787143126
40db6a6bd27b7f2fccb0ab0e4b97b2e64d5e79a2,8.302982171300481
